"x"
"ENSG00000099953"
"ENSG00000123500"
"ENSG00000165474"
"ENSG00000137745"
"ENSG00000155886"
"ENSG00000122641"
"ENSG00000153820"
"ENSG00000231290"
"ENSG00000060718"
"ENSG00000025423"
"ENSG00000261327"
"ENSG00000078399"
"ENSG00000176058"
"ENSG00000103260"
"ENSG00000230838"
"ENSG00000187730"
"ENSG00000124134"
"ENSG00000272841"
"ENSG00000261742"
"ENSG00000250961"
"ENSG00000147862"
"ENSG00000151882"
"ENSG00000104415"
"ENSG00000122592"
"ENSG00000196611"
"ENSG00000117650"
"ENSG00000177732"
"ENSG00000103253"
"ENSG00000198885"
"ENSG00000198838"
"ENSG00000162004"
"ENSG00000101115"
"ENSG00000167749"
"ENSG00000196549"
"ENSG00000166265"
"ENSG00000149090"
"ENSG00000174871"
"ENSG00000160161"
"ENSG00000243742"
"ENSG00000088325"
"ENSG00000134201"
"ENSG00000154736"
"ENSG00000163545"
"ENSG00000127564"
"ENSG00000133466"
"ENSG00000172156"
"ENSG00000183876"
"ENSG00000180914"
"ENSG00000083782"
"ENSG00000124493"
